date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,high_low_window,new_high_low_net_ratio,new_high_low_net_change_5d,change_available,new_high_count,new_low_count,new_high_low_net_count,new_high_ratio,new_low_ratio,high_low_valid_count,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2012-05-03,new_high_low_120_breadth_reversal_bottom,bottom,0.01628498728,False,2054,1965,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01628498728,0.034531312669999994,True,41,9,32,0.02086513995,0.004580152672,1965,,,,inactive,False,False,False,False,,2
2012-05-04,new_high_low_120_breadth_reversal_bottom,bottom,0.02283105023,False,2054,1971,new_high_low_period_decomposition_v1_20120104_20260814,120,0.02283105023,-0.01447094262,True,45,0,45,0.02283105023,0.0,1971,,,,inactive,False,False,False,False,,2
2012-05-07,new_high_low_120_breadth_reversal_bottom,bottom,0.03914590747,False,2054,1967,new_high_low_period_decomposition_v1_20120104_20260814,120,0.03914590747,0.012424427509999999,True,78,1,77,0.03965429588,0.0005083884087,1967,,,,inactive,False,False,False,False,,2
2012-05-08,new_high_low_120_breadth_reversal_bottom,bottom,0.03089598352,False,2054,1942,new_high_low_period_decomposition_v1_20120104_20260814,120,0.03089598352,0.021511207711999998,True,61,1,60,0.03141091658,0.0005149330587,1942,,,,inactive,False,False,False,False,,2
2012-05-09,new_high_low_120_breadth_reversal_bottom,bottom,0.01121876594,False,2054,1961,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01121876594,-0.01523087801,True,24,2,22,0.01223865375,0.001019887812,1961,,,,inactive,False,False,False,False,,2
2012-05-10,new_high_low_120_breadth_reversal_bottom,bottom,0.01500258665,False,2054,1933,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01500258665,-0.0012824006299999996,True,31,2,29,0.0160372478,0.001034661148,1933,,,,inactive,False,False,False,False,,2
2012-05-11,new_high_low_120_breadth_reversal_bottom,bottom,0.01769911504,False,2054,1921,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01769911504,-0.005131935189999999,True,37,3,34,0.01926080167,0.001561686622,1921,,,,inactive,False,False,False,False,,2
2012-05-14,new_high_low_120_breadth_reversal_bottom,bottom,0.01426388181,False,2054,1963,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01426388181,-0.024882025659999998,True,31,3,28,0.01579215487,0.001528273051,1963,,,,inactive,False,False,False,False,,2
2012-05-15,new_high_low_120_breadth_reversal_bottom,bottom,0.001545595054,False,2054,1941,new_high_low_period_decomposition_v1_20120104_20260814,120,0.001545595054,-0.029350388466,True,22,19,3,0.01133436373,0.009788768676,1941,,,,inactive,False,False,False,False,,2
2012-05-16,new_high_low_120_breadth_reversal_bottom,bottom,0.002071465562,False,2054,1931,new_high_low_period_decomposition_v1_20120104_20260814,120,0.002071465562,-0.009147300378,True,25,21,4,0.01294665976,0.0108751942,1931,,,,inactive,False,False,False,False,,2
2012-05-17,new_high_low_120_breadth_reversal_bottom,bottom,0.008691206544,False,2054,1956,new_high_low_period_decomposition_v1_20120104_20260814,120,0.008691206544,-0.0063113801060000006,True,31,14,17,0.01584867076,0.007157464213,1956,,,,inactive,False,False,False,False,,2
2012-05-18,new_high_low_120_breadth_reversal_bottom,bottom,0.007894736842,False,2054,1900,new_high_low_period_decomposition_v1_20120104_20260814,120,0.007894736842,-0.009804378198,True,34,19,15,0.01789473684,0.01,1900,,,,inactive,False,False,False,False,,2
2012-05-21,new_high_low_120_breadth_reversal_bottom,bottom,-0.002545824847,False,2054,1964,new_high_low_period_decomposition_v1_20120104_20260814,120,-0.002545824847,-0.016809706657,True,19,24,-5,0.00967413442,0.01221995927,1964,,,,inactive,False,False,False,False,,2
2012-05-22,new_high_low_120_breadth_reversal_bottom,bottom,0.01679389313,False,2054,1965,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01679389313,0.015248298076000002,True,34,1,33,0.01730279898,0.0005089058524,1965,,,,inactive,False,False,False,False,,2
2012-05-23,new_high_low_120_breadth_reversal_bottom,bottom,0.02335025381,False,2054,1970,new_high_low_period_decomposition_v1_20120104_20260814,120,0.02335025381,0.021278788248,True,63,17,46,0.03197969543,0.008629441624,1970,,,,inactive,False,False,False,False,,2
2012-05-24,new_high_low_120_breadth_reversal_bottom,bottom,0.01207851032,False,2054,1987,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01207851032,0.003387303776,True,49,25,24,0.0246602919,0.01258178158,1987,,,,inactive,False,False,False,False,,2
